# ----------------------------------------
# SF OpenData - All Web Data
# Search Terms
# 20140901-20160622
# ----------------------------------------

Search Term,Exit Page,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
parking meters,/browse/embed?category=&limit=20&limitTo=&q=parking+meters&view_type=rich,26,1.50,0.00%,0.00%,00:00:52,3.88
population,/browse/embed?category=&limit=20&limitTo=&q=population&utf8=✓&view_type=rich&page=2,26,1.96,0.00%,3.92%,00:01:42,9.38
zoning districts,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,26,2.96,0.00%,35.06%,00:02:29,8.08
BAN,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,24,1.46,0.00%,37.14%,00:01:38,6.21
bike,/Transportation/Bicycle-Parking-Public-/w969-5mn4,24,3.21,0.00%,3.90%,00:03:54,11.38
building footprints,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,24,2.62,0.00%,46.03%,00:01:19,7.62
business registration,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,24,1.62,0.00%,7.69%,00:02:56,5.50
businesses,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,24,1.62,0.00%,12.82%,00:07:19,5.50
crime,/browse/embed?category=&limit=20&limitTo=&q=crime&utf8=✓&view_type=rich&page=2,24,1.96,0.00%,0.00%,00:04:04,6.62
dataset inventory,/City-Management-and-Ethics/Dataset-Inventory/y8fp-fbf5,24,2.00,0.00%,0.00%,00:02:28,6.50
neighborhood,/Geographic-Locations-and-Boundaries/Neighborhoods/ejmn-jyk6,24,2.54,0.00%,0.00%,00:00:31,8.04
parking meter,/Transportation/Meter-Location-Lookup/jnyu-ibvn,24,1.79,0.00%,4.65%,00:01:21,16.29
SCHOOL,/browse/embed?category=&limit=20&limitTo=&q=SCHOOL&view_type=rich,24,2.12,0.00%,0.00%,00:00:04,4.29
schools,/Geographic-Locations-and-Boundaries/San-Francisco-Public-Schools-Points/sert-rabb,24,3.12,0.00%,0.00%,00:03:47,10.17
shapefile,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=shapefile&view_type=rich,24,4.00,0.00%,5.21%,00:01:28,12.71
streets,/,24,3.00,0.00%,18.06%,00:06:25,13.29
traffic,/,24,3.21,0.00%,7.79%,00:04:41,14.50
311,/,22,3.05,0.00%,7.46%,00:03:27,11.73
bicycle,/Transportation/SFMTA-Bikeway-Network/t6vv-tjkd,22,2.32,0.00%,0.00%,00:02:52,12.45
census tract,/Geographic-Locations-and-Boundaries/Census-2010-Census-Tracts-for-San-Francisco-Zipped/jyce-hqn2,22,2.05,0.00%,4.44%,00:04:58,7.82
compensation,/City-Management-and-Ethics/Employee-Compensation/88g8-5mnd,22,1.91,0.00%,0.00%,00:00:55,6.27
Crime,/,22,2.68,0.00%,5.08%,00:04:19,10.36
Crime,/browse/embed?category=&limit=20&limitTo=&q=Crime&view_type=rich,22,1.59,0.00%,0.00%,00:00:13,3.36
elevation,/browse/embed?category=&limit=20&limitTo=&q=elevation&view_type=rich,22,3.27,0.00%,2.78%,00:02:41,8.91
food,/Economy-and-Community/Mobile-Food-Facility-Permit/rqzj-sfat,22,4.09,0.00%,2.22%,00:04:38,12.91
food trucks,/Economy-and-Community/Mobile-Food-Facility-Permit/rqzj-sfat,22,2.27,0.00%,4.00%,00:01:15,6.64
neighborhood,/browse/embed?category=&limit=20&limitTo=&q=neighborhood&view_type=rich,22,2.18,0.00%,4.17%,00:01:04,7.73
neighborhoods,/Geographic-Locations-and-Boundaries/SFFind-Neighborhoods/ejmn-jyk6,22,2.55,0.00%,3.57%,00:02:41,9.18
parking meters,/Transportation/Meter-Operating-Schedules/6cqg-dxku,22,1.68,0.00%,8.11%,00:00:44,4.23
parks,/Culture-and-Recreation/Recreation-Park-Department-Park-Info-Dataset/z76i-7s65,22,4.68,0.00%,4.85%,00:10:07,12.91
school,/Geographic-Locations-and-Boundaries/San-Francisco-Public-Schools-Points/sert-rabb,22,1.82,0.00%,0.00%,00:01:44,7.45
shoreline,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,22,1.82,0.00%,0.00%,00:01:02,8.95
street centerlines,/Geographic-Locations-and-Boundaries/San-Francisco-Basemap-Street-Centerlines-Zipped-Sh/5rn4-fswj,22,1.91,0.00%,7.14%,00:01:06,7.64
streets,/browse/embed?category=&limit=20&limitTo=&q=streets&view_type=rich,22,3.05,0.00%,0.00%,00:01:45,17.95
water,/,22,2.91,0.00%,9.38%,00:02:36,12.05
weather,/browse/embed?category=&limit=20&limitTo=&q=weather&view_type=rich,22,1.82,0.00%,0.00%,00:00:46,5.64
zoning,/City-Infrastructure/Parcels-With-Planning-Department-Zoning/fpr2-m7in,22,2.64,0.00%,10.34%,00:02:13,17.64
address,/Geographic-Locations-and-Boundaries/Addresses-Enterprise-Addressing-System/pf3h-w4up,21,1.52,0.00%,6.25%,00:00:49,6.10
bus,/Transportation/SFMTA-routes-and-stops-for-March-2012/f5c3-8kkj,21,1.76,0.00%,5.41%,00:03:04,7.24
crime,/login,21,2.90,0.00%,16.39%,00:22:56,15.90
crime,/Public-Safety/SFPD-Crime-Reporting-Plots-Zipped-Shapefile-Format/5aii-qc4e,21,3.05,0.00%,12.50%,00:04:00,8.00
data inventory,/City-Management-and-Ethics/Dataset-Inventory/y8fp-fbf5,21,1.86,0.00%,0.00%,00:01:23,6.05
human waste,/City-Management-and-Ethics/Human-Waste/mv85-4ee7,21,2.00,0.00%,0.00%,00:03:11,7.81
Lot,/browse/embed?category=&limit=20&limitTo=&q=Lot&view_type=rich,21,1.62,0.00%,0.00%,00:00:06,3.19
movies,/Culture-and-Recreation/Film-Locations-in-San-Francisco/yitu-d5am,21,2.00,0.00%,0.00%,00:03:26,5.52
parking meters,/Transportation/Meter-Location-Lookup/jnyu-ibvn,21,1.05,0.00%,0.00%,00:00:53,2.90
restaurant,/browse/embed?category=&limit=20&limitTo=&q=restaurant&view_type=rich,21,2.67,0.00%,0.00%,00:02:58,7.24
SFMTA Bikeway Network,/Transportation/SFMTA-Bikeway-Network/t6vv-tjkd,21,1.86,0.00%,5.13%,00:01:22,7.19
